state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,2016 Margin,Total 2016 Votes,2022 Dem Vote,2022 Rep Vote,2022 Dem Percent,2022 Rep Percent,2022 Dem This Margin,20-22 Dem Margin Shift,Special
Mississippi,R,Yes,"539,508","756,789","17,597",41.10%,57.60%,1.30%,-16.50%,1.30%,8.60%,MS,6,-0.1782624982,"1,209,357",,,,,,,FALSE
Missouri,R,Yes,"1,253,014","1,718,736","54,212",41.40%,56.80%,1.80%,-15.40%,3.20%,7.70%,MO,10,-0.18637117,"2,808,605","868,875","1,143,636",42.10%,55.50%,-13.40%,2.00%,FALSE
Montana,R,Yes,"244,786","343,602","15,286",40.50%,56.90%,2.50%,-16.40%,4.10%,21.40%,MT,3,-0.2042273211,"497,147",,,,,,,FALSE
Nebraska,R,Yes,"374,583","556,846","20,283",39.40%,58.50%,2.10%,-19.20%,5.90%,12.70%,NE,2,-0.2504859475,"844,289",,,,,,,FALSE
Nebraska 1st District,R,Yes,"132,261","180,290","7,495",41.30%,56.30%,2.30%,-15.00%,5.70%,13.40%,NE1,1,-0.2071984643,"282,338",,,,,,,FALSE
Nebraska 2nd District,D,Yes,"176,468","154,377","6,909",52.20%,45.70%,2.00%,6.50%,8.80%,15.80%,NE2,1,-0.02240126166,"291,680",,,,,,,FALSE
Nebraska 3rd District,R,Yes,"65,854","222,179","5,879",22.40%,75.60%,2.00%,-53.20%,1.00%,8.80%,NE3,1,-0.5418812405,"270,109",,,,,,,FALSE
Nevada,D,Yes,"703,486","669,890","32,000",50.10%,47.70%,2.30%,2.40%,0.00%,24.90%,NV,6,0.02417128361,"1,125,385","493,443","484,436",48.90%,48.00%,0.90%,-1.50%,FALSE
New Hampshire,D,Yes,"424,921","365,654","15,607",52.70%,45.40%,1.90%,7.40%,7.00%,8.30%,NH,4,0.003675956877,"744,158","331,987","275,307",53.60%,44.40%,9.20%,1.80%,FALSE
New Jersey,D,Yes,"2,608,335","1,883,274","57,744",57.30%,41.40%,1.30%,15.90%,1.80%,17.40%,NJ,14,0.141026978,"3,874,046",,,,,,,FALSE
New Mexico,D,Yes,"501,614","401,894","20,457",54.30%,43.50%,2.20%,10.80%,2.60%,15.70%,NM,5,0.08213132845,"798,318",,,,,,,FALSE
New York,D,Yes,"5,244,886","3,251,997","119,978",60.90%,37.70%,1.40%,23.10%,0.60%,11.60%,NY,29,0.2249045614,"7,721,453","3,199,839","2,448,323",56.40%,43.20%,13.20%,-9.90%,FALSE
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",48.60%,49.90%,1.50%,-1.30%,2.30%,16.50%,NC,15,-0.03655228528,"4,741,564","1,784,049","1,905,786",47.30%,50.50%,-3.20%,-1.90%,FALSE
North Dakota,R,Yes,"114,902","235,595","11,322",31.80%,65.10%,3.10%,-33.40%,2.40%,5.10%,ND,3,-0.3572888837,"344,360","59,804","135,076",25.00%,56.50%,-31.50%,1.90%,FALSE
Ohio,R,Yes,"2,679,165","3,154,834","88,203",45.20%,53.30%,1.50%,-8.00%,0.10%,7.70%,OH,18,-0.08129574399,"5,496,487","1,883,223","2,147,898",46.70%,53.30%,-6.60%,1.40%,FALSE
Oklahoma,R,Yes,"503,890","1,020,280","36,529",32.30%,65.40%,2.30%,-33.10%,3.30%,7.40%,OK,7,-0.3639118454,"1,452,992","368,979","739,298",32.10%,64.30%,-32.20%,0.90%,FALSE
Oklahoma,R,Yes,"503,890","1,020,280","36,529",32.30%,65.40%,2.30%,-33.10%,3.30%,7.40%,OK,7,-0.3639118454,"1,452,992","404,951","710,004",35.20%,61.80%,-26.60%,6.50%,TRUE
Oregon,D,Yes,"1,340,383","958,448","75,490",56.50%,40.40%,3.20%,16.10%,5.10%,18.60%,OR,7,0.1097781682,"2,001,336","1,076,424","788,991",55.90%,41.00%,14.90%,-1.20%,FALSE
Pennsylvania,D,Yes,"3,458,229","3,377,674","79,380",50.00%,48.80%,1.10%,1.20%,1.90%,13.10%,PA,20,-0.007183871226,"6,115,402","2,747,601","2,484,096",51.20%,46.30%,4.90%,3.70%,FALSE
Rhode Island,D,Yes,"307,486","199,922","10,349",59.40%,38.60%,2.00%,20.80%,5.30%,11.60%,RI,4,0.1550854907,"464,144",,,,,,,FALSE
South Carolina,R,Yes,"1,091,541","1,385,103","36,685",43.40%,55.10%,1.50%,-11.70%,2.60%,19.50%,SC,9,-0.142659129,"2,103,027","627,616","1,066,274",37.10%,62.90%,-25.80%,-14.10%,FALSE
South Dakota,R,Yes,"150,471","261,043","11,095",35.60%,61.80%,2.60%,-26.20%,3.60%,14.20%,SD,3,-0.2979332222,"370,093","90,996","242,282",26.20%,69.60%,-43.40%,-17.20%,FALSE
Tennessee,R,Yes,"1,143,711","1,852,475","57,665",37.50%,60.70%,1.90%,-23.20%,2.80%,21.80%,TN,11,-0.260057009,"2,508,027",,,,,,,FALSE
Texas,R,Yes,"5,259,126","5,890,347","165,583",46.50%,52.10%,1.50%,-5.60%,3.40%,26.20%,TX,38,-0.08999427598,"8,969,226",,,,,,,FALSE
Utah,R,Yes,"560,282","865,140","62,867",37.60%,58.10%,4.20%,-20.50%,-2.40%,31.50%,UT,6,-0.1807933323,"1,131,430",,,,,,,FALSE
Vermont,D,Yes,"242,820","112,704","11,904",66.10%,30.70%,3.20%,35.40%,9.00%,16.60%,VT,3,0.2640835124,"315,067","195,421","80,237",68.50%,28.10%,40.40%,5.00%,FALSE
Virginia,D,Yes,"2,413,568","1,962,430","84,526",54.10%,44.00%,1.90%,10.10%,4.80%,12.00%,VA,13,0.05321195363,"3,982,752",,,,,,,FALSE
Washington,D,Yes,"2,369,612","1,584,651","133,368",58.00%,38.80%,3.30%,19.20%,3.50%,21.50%,WA,12,0.1570599988,"3,365,644","1,741,827","1,299,322",57.30%,42.70%,14.60%,-4.60%,FALSE
West Virginia,R,Yes,"235,984","545,382","13,286",29.70%,68.60%,1.70%,-38.90%,3.10%,11.40%,WV,5,-0.4207269363,"713,051",,,,,,,FALSE
Wisconsin,D,Yes,"1,630,866","1,610,184","56,991",49.40%,48.80%,1.70%,0.60%,1.40%,10.80%,WI,10,-0.007643431951,"2,976,150","1,310,673","1,336,928",49.50%,50.50%,-1.00%,-1.60%,FALSE
Wyoming,R,Yes,"73,491","193,559","9,715",26.60%,69.90%,3.50%,-43.40%,2.90%,8.20%,WY,3,-0.4629527573,"255,849",,,,,,,FALSE
