"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"74","H0FL06145","NOLAN, JOHN GERARD MR.","NPA",2022,"H","FL",6,"C00769380"
"75","H0FL08208","WEBSTER, DANIEL","REP",2022,"H","FL",11,"C00481911"
"76","H0FL09073","ORTIZ, SERGIO E","REP",2022,"H","FL",9,"C00698217"
"77","H0FL09081","OLSON, WILLIAM","REP",2022,"H","FL",9,"C00699694"
"78","H0FL09115","CASTILLO, JOSE","REP",2022,"H","FL",9,"C00711358"
"79","H0FL10097","WALLS-WINDHAUSER, ANGELA","REP",2022,"H","FL",10,"C00771287"
"80","H0FL10113","MONTAGUE, WILLIE","REP",2022,"H","FL",10,"C00741900"
"81","H0FL13133","MAKKI, AMANDA","REP",2022,"H","FL",13,"C00708263"
"82","H0FL13158","PAULINA LUNA, ANNA","REP",2022,"H","FL",13,"C00718239"
"83","H0FL13190","CURNOW, JACOB","W",2022,"H","FL",13,""
"84","H0FL15070","PHILIPPE, JESSE","DEM",2022,"H","FL",15,"C00772780"
"85","H0FL15104","FRANKLIN, SCOTT MR.","REP",2022,"H","FL",18,"C00742247"
"86","H0FL17068","WILSON, FREDERICA S.","DEM",2022,"H","FL",24,"C00460055"
"87","H0FL17175","MURRAY, THEODORE ANDREW","NON",2022,"H","FL",17,"C00725242"
"88","H0FL19080","DEUTCH, THEODORE ELIOT","DEM",2022,"H","FL",22,"C00469163"
"89","H0FL19106","BANYAI, CINDY LYN","DEM",2022,"H","FL",19,"C00718155"
"90","H0FL19163","AQUINO, DARREN DIONE MR.","REP",2022,"H","FL",25,"C00731406"
"91","H0FL19254","POST, PATRICK","DEM",2022,"H","FL",19,""
"92","H0FL20112","JONES, LATERESA ANN","REP",2022,"H","FL",10,"C00552711"
"93","H0FL20146","MILLER, ERVAN KATARI","REP",2022,"H","FL",20,"C00714634"
"94","H0FL21078","LOOMER, LAURA","REP",2022,"H","FL",11,"C00714543"
"95","H0FL22092","MOHAMMAD, IMTIAZ AHMAD","DEM",2022,"H","FL",22,"C00727339"
"96","H0FL22118","PRUDEN, JAMES L.","REP",2022,"H","FL",23,"C00790576"
"97","H0FL22126","SCOTT, CHRISTINE","NPA",2022,"H","FL",23,"C00726539"
"98","H0FL23090","SPALDING, CARLA A","REP",2022,"H","FL",25,"C00727164"
"99","H0FL24205","SPICER, LAVERN","REP",2022,"H","FL",24,"C00736264"
"100","H0FL26036","GIMENEZ, CARLOS","REP",2022,"H","FL",28,"C00735985"
"101","H0GA01029","GRIGGS, JOYCE MARIE","DEM",2022,"H","GA",1,"C00763912"
"102","H0GA03074","ALMONORD, VALBRUN DR.","DEM",2022,"H","GA",3,"C00743724"
"103","H0GA04122","HICKS, ANTONIO CORTEZ","DEM",2022,"H","GA",4,"C00709311"
"104","H0GA05301","WILLIAMS, NIKEMA NATASSHA","DEM",2022,"H","GA",5,"C00752584"
"105","H0GA06192","GREENE, MARJORIE TAYLOR MRS.","REP",2022,"H","GA",14,"C00708289"
"106","H0GA06200","HARBIN, BLAKE","REP",2022,"H","GA",6,"C00783092"
"107","H0GA06226","SMITH, PAULETTE MISS","REP",2022,"H","GA",6,"C00742544"
"108","H0GA07125","HICE, JODY","REP",2022,"H","GA",10,"C00544445"
"109","H0GA07232","GONSALVES, MARK","REP",2022,"H","GA",7,"C00798850"
"110","H0GA07273","MCCORMICK, RICHARD DEAN DR.","REP",2022,"H","GA",6,"C00706747"
"111","H0GA07307","BABBAGE, LISA NOEL DR.","REP",2022,"H","GA",7,"C00775551"
"112","H0GA08099","SCOTT, JAMES AUSTIN","REP",2022,"H","GA",8,"C00482737"
"113","H0GA09196","BOGGUS, MICHAEL SHANE","REP",2022,"H","GA",9,"C00733378"
"114","H0GA09246","CLYDE, ANDREW","REP",2022,"H","GA",9,"C00740100"
"115","H0GA12059","JOHNSON, ELIZABETH","DEM",2022,"H","GA",12,"C00774893"
"116","H0GA13149","GONZALES, CAESAR","REP",2022,"H","GA",13,"C00792846"
"117","H0HI01223","GIUFFRE, JOHN (RAGHU)","N",2022,"H","HI",2,""
"118","H0HI02155","KAHELE, KAIALI'I","DEM",2022,"H","HI",2,"C00694604"
"119","H0HI02213","AKANA, JOSEPH","REP",2022,"H","HI",2,"C00742221"
"120","H0IA01174","HINSON, ASHLEY","REP",2022,"H","IA",2,"C00706267"
"121","H0IA04145","FEENSTRA, RANDALL","REP",2022,"H","IA",4,"C00693663"
"122","H0IL01145","GUILLEMETTE, JOANNE","REP",2022,"H","IL",16,"C00809525"
"123","H0IL01194","WHITE, PHILANISE","REP",2022,"H","IL",1,"C00762807"
"124","H0IL01210","MATTHEWS, AMEENA","DEM",2022,"H","IL",1,"C00704973"
"125","H0IL03125","O'SHEA, CATHERINE ANNE MS","REP",2022,"H","IL",6,"C00736645"
"126","H0IL03133","HUGHES, CHARLES M","DEM",2022,"H","IL",6,"C00736348"
"127","H0IL05096","QUIGLEY, MIKE","DEM",2022,"H","IL",5,"C00457556"
"128","H0IL07167","COLLINS, KINA ISIS","DEM",2022,"H","IL",7,"C00706259"
"129","H0IL10369","WANG, ANDREW","DEM",2022,"H","IL",10,"C00715912"
"130","H0IL10393","SEVERINO, JOSEPH","REP",2022,"H","IL",10,"C00750877"
"131","H0IL11052","KINZINGER, ADAM","REP",2022,"H","IL",16,"C00458877"
"132","H0IL11128","BANSAL, KRISHNA K","REP",2022,"H","IL",11,"C00721217"
"133","H0IL15129","MILLER, MARY","REP",2022,"H","IL",15,"C00723916"
"134","H0IL17083","KING, ESTHER JOY","REP",2022,"H","IL",17,"C00716498"
"135","H0IN01135","MCDERMOTT, THOMAS","DEM",2022,"H","IN",1,"C00726018"
"136","H0IN01150","MRVAN, FRANK J.","DEM",2022,"H","IN",1,"C00727529"
"137","H0IN01317","POWERS, WILLIAM F (BILL)","W",2022,"H","IN",1,""
"138","H0IN02190","WALORSKI, JACKIE","REP",2022,"H","IN",2,"C00468579"
"139","H0IN05326","SPARTZ, VICTORIA","REP",2022,"H","IN",5,"C00737767"
"140","H0IN07249","WALTERS, GERALD","REP",2022,"H","IN",7,"C00735753"
"141","H0IN08114","BUCSHON, LARRY D.","REP",2022,"H","IN",8,"C00468256"
"142","H0IN09161","DORRIS, DALE WILLIAM MR. II","DEM",2022,"H","IN",9,"C00730671"
"143","H0KS01123","MANN, TRACEY ROBERT","REP",2022,"H","KS",1,"C00460659"
"144","H0KS01180","SOETAERT, MICHAEL","DEM",2022,"H","KS",2,"C00718973"
"145","H0KS02188","LATURNER, JAKE","REP",2022,"H","KS",2,"C00718346"
"146","H0KS03236","ADKINS, AMANDA","REP",2022,"H","KS",3,"C00717876"
"147","H0KS03269","HOHE, STEVEN","LIB",2022,"H","KS",3,"C00752311"
"148","H0KY03259","PALAZZO, RHONDA RAYE","REP",2022,"H","KY",3,"C00799932"
"149","H0KY05015","ROGERS, HAROLD DALLAS","REP",2022,"H","KY",5,"C00116632"
"150","H0KY06104","BARR, GARLAND ANDY","REP",2022,"H","KY",6,"C00467571"
"151","H0LA01087","SCALISE, STEVE MR","REP",2022,"H","LA",1,"C00394957"
"152","H0LA05088","BADGER, JOHN ROBERT","IND",2022,"H","LA",5,"C00703439"
"153","H0MA04192","AUCHINCLOSS, JAKE","DEM",2022,"H","MA",4,"C00721449"
"154","H0MA04259","HALL, JULIE","REP",2022,"H","MA",4,"C00744888"
"155","H0MA05116","DEPALMA, RAFFAELE SANTINO","DEM",2022,"H","MA",5,"C00701995"
"156","H0MA07054","CAMPBELL, RAYLA","REP",2022,"H","MA",7,"C00744201"
"157","H0MA10082","KEATING, WILLIAM R","DEM",2022,"H","MA",9,"C00479063"
"158","H0MD01224","PINGLEY, JENNIFER","DEM",2022,"H","MD",1,"C00734830"
"159","H0MD01232","MASON, MIA","DEM",2022,"H","MD",1,"C00766022"
"160","H0MD02255","COLLIER, SCOTT M","REP",2022,"H","MD",7,""
"161","H0MD04160","SHELTON, KIM","DEM",2022,"H","MD",4,"C00737049"
"162","H0MD05225","PALOMBI, CHRISTOPHER","REP",2022,"H","MD",5,"C00729319"
"163","H0MD05241","HOFFMAN, VANESSA","REP",2022,"H","MD",5,"C00733063"
"164","H0MD05274","CUBERO, BRYAN DUVAL","REP",2022,"H","MD",5,""
"165","H0MD06231","PARROTT, NEIL CONRAD","REP",2022,"H","MD",6,"C00691931"
"166","H0MD08203","COLL, GREGORY THOMAS","REP",2022,"H","MD",8,"C00734426"
"167","H0MD08237","YADETA, MICHAEL","REP",2022,"H","MD",8,""
"168","H0ME01127","AMEDE, AARON","DEM",2022,"H","ME",1,"C00797373"
"169","H0MI02094","HUIZENGA, WILLIAM P","REP",2022,"H","MI",4,"C00459297"
"170","H0MI03266","NORTON, THOMAS JOHN","REP",2022,"H","MI",2,"C00704270"
"171","H0MI03308","MEIJER, PETER MR.","REP",2022,"H","MI",3,"C00710962"
"172","H0MI03316","SCHOLTEN, HILLARY","DEM",2022,"H","MI",3,"C00711317"
"173","H0MI04108","FEIG, ANTHONY DEAN DR.","DEM",2022,"H","MI",4,"C00705301"
"174","H0MI04140","CANNY, DAVID","LIB",2022,"H","MI",8,""
"175","H0MI06202","SOLIS, JERRY","REP",2022,"H","MI",6,"C00759209"
"176","H0MI08133","DETMER, MIKE","REP",2022,"H","MI",8,"C00722587"
"177","H0MI08141","JUNGE, PAUL","REP",2022,"H","MI",8,"C00726687"
"178","H0MI09206","SALIBA, MIKE","LIB",2022,"H","MI",10,"C00753533"
"179","H0MI10287","MCCLAIN, LISA","REP",2022,"H","MI",9,"C00726042"
"180","H0MI12150","CARBONARO, ANTHONY M","DEM",2022,"H","MI",12,"C00711036"
"181","H0MI13505","BOMER, ARTICIA","REP",2022,"H","MI",12,"C00796839"
"182","H0MN01045","HAGEDORN, JAMES","REP",2022,"H","MN",1,"C00550707"
"183","H0MN02118","OLSON, RICHARD THOMAS","W",2022,"H","MN",2,"C00815993"
"184","H0MN02134","KISTNER, TYLER","REP",2022,"H","MN",2,"C00732925"
"185","H0MN04049","MCCOLLUM, BETTY","DEM",2022,"H","MN",4,"C00354688"
"186","H0MN07091","FISCHBACH, MICHELLE","REP",2022,"H","MN",7,"C00717959"
"187","H0MN07125","GRUENHAGEN, ALYCIA R","DEM",2022,"H","MN",7,""
"188","H0MO03237","WILKINSON, BRANDON","REP",2022,"H","MO",3,"C00745505"
"189","H0MO04086","HARTZLER, VICKY","REP",2022,"H","MO",4,"C00464602"
"190","H0MO05182","SALAZAR, MAITE","DEM",2022,"H","MO",5,"C00801522"
"191","H0MO05240","DOMINICK, ROBIN","LIB",2022,"H","MO",5,"C00741330"
"192","H0MO06073","GRAVES, SAMUEL B. JR.","REP",2022,"H","MO",6,"C00359034"
"193","H0MO06115","DADY, JOHN","REP",2022,"H","MO",6,""
"194","H0MO06164","RYAN, CHRISTOPHER","REP",2022,"H","MO",6,""
"195","H0MO06206","WEST, CHARLES","DEM",2022,"H","MO",6,"C00741736"
"196","H0MO07113","LONG, BILLY MR.","REP",2022,"S","MO",0,"C00460063"
"197","H0MO07279","RICHARDS, AUDREY","REP",2022,"H","MO",7,"C00753541"
"198","H0MS02082","FLOWERS, BRIAN WESLEY","REP",2022,"H","MS",2,"C00736223"
"199","H0MS04120","PALAZZO, STEVEN MCCARTY","REP",2022,"H","MS",4,"C00477323"
"200","H0MS04161","CARL, BOYANTON","REP",2022,"H","MS",4,"C00711416"
"201","H0MT00074","RANKIN, SAM","LIB",2022,"H","MT",2,"C00814590"
"202","H0MT00090","WINTER, THOMAS","DEM",2022,"H","MT",1,"C00793182"
"203","H0NC02059","ELLMERS, RENEE JACISIN","REP",2022,"H","NC",13,"C00797878"
"204","H0NC02125","ROSS, DEBORAH","DEM",2022,"H","NC",2,"C00729277"
"205","H0NC02158","SWAIN, ALAN D","REP",2022,"H","NC",4,"C00731885"
"206","H0NC03149","SMITH, SANDY","REP",2022,"H","NC",1,"C00697250"
"207","H0NC03172","MURPHY, GREGORY FRANCIS DR.","REP",2022,"H","NC",3,"C00697649"
"208","H0NC04220","THOMAS, ROBERT","REP",2022,"H","NC",4,"C00744847"
"209","H0NC06209","BUCARDO, JENNYFER","REP",2022,"H","NC",9,"C00716159"
"210","H0NC06241","HAYWOOD, JOSEPH","REP",2022,"H","NC",6,"C00732651"
"211","H0NC06266","PICHARDO, LAURA","REP",2022,"H","NC",6,"C00814475"
"212","H0NC09187","BISHOP, JAMES DANIEL","REP",2022,"H","NC",8,"C00699660"
"213","H0NC10177","GREGORY, JEFF","REP",2022,"H","NC",10,"C00610444"
"214","H0NC11175","DAVIS, MORRIS D. COL.","DEM",2022,"H","NC",11,"C00727800"
"215","H0NC11191","BENNETT, LYNDA","REP",2022,"H","NC",11,"C00732099"
"216","H0NC11217","BURRIL, MATTHEW","REP",2022,"H","NC",11,"C00795773"
"217","H0NC11233","CAWTHORN, DAVID MADISON","REP",2022,"H","NC",11,"C00732958"
"218","H0NE03217","ELSE, DAVID J","DEM",2022,"H","NE",3,"C00738823"
"219","H0NE03225","ELWORTH, MARK","OTH",2022,"H","NE",3,"C00741868"
"220","H0NH01258","RONDEAU, KEVIN","REP",2022,"H","NH",1,""
"221","H0NH01282","MOWERS, MATT","REP",2022,"H","NH",1,"C00734491"
"222","H0NH02181","KUSTER, ANN MCLANE","DEM",2022,"H","NH",2,"C00462861"
"223","H0NH02280","TOWNE, GILEAD R","REP",2022,"H","NH",1,"C00740357"
"224","H0NJ05174","PALLOTTA, FRANK","REP",2022,"H","NJ",5,"C00706275"
"225","H0NJ05240","VELLUCCI, LOUIS","OTH",2022,"H","NJ",5,"C00755405"
"226","H0NJ07261","KEAN, THOMAS H. JR.","REP",2022,"H","NJ",7,"C00703058"
"227","H0NJ08137","WINKLER, DAVID JOHN MR.","REP",2022,"H","NJ",8,"C00727933"
"228","H0NJ09200","PREMPEH, WILLIAM SREBOE","REP",2022,"H","NJ",9,"C00739581"
"229","H0NJ10133","PINCKNEY, DAVID","REP",2022,"H","NJ",10,""
"230","H0NJ10216","RIVERA, ANA ISABEL","REP",2022,"H","NJ",8,"C00713891"
"231","H0NJ11024","TRUGMAN, ROBERT G.","REP",2022,"H","NJ",7,"C00722199"
"232","H0NM01189","GARCIA HOLMES, MICHELLE","REP",2022,"H","NM",1,"C00724245"
"233","H0NM03102","LEGER FERNANDEZ, TERESA","DEM",2022,"H","NM",3,"C00704049"
"234","H0NV02167","BEST, RUSSELL","IAP",2022,"H","NV",2,"C00536276"
"235","H0NV03207","NADELL, BRIAN","REP",2022,"H","NV",4,""
"236","H0NV04023","PETERS, SAMUEL JAMES MR","REP",2022,"H","NV",4,"C00700898"
"237","H0NY01202","FLEMING, BRIDGET","DEM",2022,"H","NY",1,"C00728832"
"238","H0NY02192","GORDON, JACQUELINE","DEM",2022,"H","NY",2,"C00706549"
"239","H0NY02234","GARBARINO, ANDREW","REP",2022,"H","NY",2,"C00729954"
"240","H0NY03075","D'ARRIGO, MELANIE","DEM",2022,"H","NY",3,"C00712398"
"241","H0NY03083","DEVOLDER-SANTOS, GEORGE ANTHONY","REP",2022,"H","NY",3,"C00721365"
"242","H0NY05088","LAL, AMIT","REP",2022,"H","NY",5,"C00797100"
"243","H0NY06086","ZMICH, THOMAS","REP",2022,"H","NY",6,"C00731802"
"244","H0NY07092","PRINCE, PAPERBOY","DEM",2022,"H","NY",7,"C00727644"
"245","H0NY09080","JAMES, ISIAH","DEM",2022,"H","NY",9,"C00695437"
"246","H0NY10138","WYMAN, ROBERT MARK (BOB)","DEM",2022,"H","NY",10,"C00739201"
"247","H0NY11078","MALLIOTAKIS, NICOLE","REP",2022,"H","NY",11,"C00694778"
"248","H0NY15160","TORRES, RITCHIE JOHN","DEM",2022,"H","NY",15,"C00699744"
"249","H0NY16143","BOWMAN, JAMAAL","DEM",2022,"H","NY",16,"C00709196"
"250","H0NY17174","JONES, MONDAIRE","DEM",2022,"H","NY",10,"C00711150"
"251","H0NY17281","PARKER, CATHERINE F","DEM",2022,"H","NY",16,"C00731422"
"252","H0NY19204","VAN DE WATER, KYLE","REP",2022,"H","NY",19,"C00737650"
"253","H0NY20111","JOY, ELIZABETH L","REP",2022,"H","NY",20,"C00701755"
"254","H0NY22091","DESIRA, JAMES","IND",2022,"H","NY",22,"C00751891"
"255","H0NY24063","CONOLE, FRANCIS","DEM",2022,"H","NY",22,"C00702191"
"256","H0NY26068","EGRIU, EMIN","DEM",2022,"H","NY",26,"C00557223"
"257","H0NY27090","JACOBS, CHRISTOPHER L.","REP",2022,"H","NY",23,"C00706788"
"258","H0NY29054","REED, THOMAS W","REP",2022,"H","NY",23,"C00464032"
"259","H0OH04085","SITES, JEFFREY ALAN","DEM",2022,"H","OH",4,"C00766691"
"260","H0OH06189","JOHNSON, BILL","REP",2022,"H","OH",6,"C00476820"
"261","H0OH07104","ANDERSON, JOHN DAVID","REP",2022,"H","OH",6,"C00558635"
"262","H0OH07146","LAPE, BRANDON","REP",2022,"H","OH",12,"C00734442"
"263","H0OH11098","GORE, LAVERNE","REP",2022,"H","OH",11,"C00724609"
"264","H0OH11122","SHABAZZ, TARIQ K.","DEM",2022,"H","OH",11,"C00728337"
"265","H0OH12179","SHEARER, ALAINA","DEM",2022,"H","OH",12,"C00724047"
"266","H0OH13219","TRUEX, DONALD","REP",2022,"H","OH",7,"C00739318"
"267","H0OH15131","KILGORE, DANIEL MCARTHUR MR.","DEM",2022,"H","OH",15,"C00712554"
"268","H0OH18077","GIBBS, ROBERT","REP",2022,"H","OH",7,"C00466516"
"269","H0OK02244","HOPKINS, RHONDA","REP",2022,"H","OK",2,""
"270","H0OK05205","BICE, STEPHANIE","REP",2022,"H","OK",5,"C00703843"
"271","H0OR01152","BARAJAS, RICARDO","DEM",2022,"H","OR",6,"C00663641"
"272","H0OR02127","BENTZ, CLIFF","REP",2022,"H","OR",2,"C00725465"
"273","H0OR02168","CRUMPACKER, JIMMY","REP",2022,"H","OR",5,"C00794339"
"274","H0OR03174","HARBOUR, JOANNA","REP",2022,"H","OR",3,"C00743203"
"275","H0OR04107","SKARLATOS, ALEK","REP",2022,"H","OR",4,"C00715854"
"276","H0OR05096","GAMBA, MARK","DEM",2022,"H","OR",5,"C00701490"
"277","H0OR05104","COURSER, AMY RYAN","REP",2022,"H","OR",6,"C00717587"
"278","H0PA02091","SNOW, SALEM","DEM",2022,"H","PA",2,"C00725739"
"279","H0PA03271","KELLY, GEORGE J JR","REP",2022,"H","PA",16,"C00474189"
"280","H0PA05086","LANNI, LOU","DEM",2022,"H","PA",5,"C00797811"
"281","H0PA05094","PRUETT, DASHA","REP",2022,"H","PA",1,"C00732727"
"282","H0PA07132","SCHELLER, LISA","REP",2022,"H","PA",7,"C00722892"
"283","H0PA08197","DANIELS, TEDDY","REP",2022,"H","PA",8,"C00713511"
"284","H0PA08221","BOGNET, JIM","REP",2022,"H","PA",8,"C00735688"
"285","H0PA10110","DEPASQUALE, EUGENE","DEM",2022,"H","PA",10,"C00710533"
"286","H0PA12181","KELLER, FRED","REP",2022,"H","PA",9,"C00697052"
"287","H0PA12207","ELIZABETH, TERWILLIGER","LIB",2022,"H","PA",12,"C00758250"
"288","H0PA17123","VODVARKA, JESSE JAMES","REP",2022,"H","PA",17,"C00735720"
"289","H0PA18089","NEVILLS, DONALD RAYMOND","REP",2022,"H","PA",18,"C00696518"
"290","H0PA18097","DICKINSON, GERALD","DEM",2022,"H","PA",12,"C00701847"
"291","H0RI01073","CICILLINE, DAVID N","DEM",2022,"H","RI",1,"C00476564"
"292","H0RI02139","LANGEVIN, JAMES R HONORABLE","DEM",2022,"H","RI",2,"C00344697"
"293","H0RI02246","ROBBIO, DONALD F.","REP",2022,"H","RI",2,""
"294","H0RI02287","LANCIA, BOB","REP",2022,"H","RI",2,"C00738302"
"295","H0SC01394","MACE, NANCY","REP",2022,"H","SC",1,"C00710103"
"296","H0SC03077","DUNCAN, JEFFREY D MR.","REP",2022,"H","SC",3,"C00460550"
"297","H0TN01118","HARSHBARGER, DIANA","REP",2022,"H","TN",1,"C00741090"
"298","H0TN01191","BAKER, RICHARD","IND",2022,"H","TN",1,""
"299","H0TN03254","FLEISCHMANN, CHARLES J","REP",2022,"H","TN",3,"C00461822"
"300","H0TN04195","DESJARLAIS, SCOTT HON.","REP",2022,"H","TN",4,"C00464073"
"301","H0TN08287","FLINN, GEORGE S DR JR","IND",2022,"H","TN",9,"C00608406"
"302","H0TN09061","BERGMANN, CHARLOTTE","REP",2022,"H","TN",9,"C00693143"
"303","H0TN09111","CLARK, DENNIS JEFFREY","IND",2022,"H","TN",9,"C00823419"
"304","H0TX03104","ROBERTSON, AL D","DEM",2022,"H","TX",3,"C00710376"
"305","H0TX04151","FOSTER, RUSSELL","DEM",2022,"H","TX",4,"C00722686"
"306","H0TX04219","FALLON, PATRICK","REP",2022,"H","TX",4,"C00750307"
"307","H0TX05125","HALE, KEVIN","LIB",2022,"H","TX",5,"C00738997"
