"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Fundraising_Total","CAND_LAST"
"105","H0MA10082","KEATING, WILLIAM R",1,"Representative","MA","9",159383,"KEATING"
"106","H0MD05225","PALOMBI, CHRISTOPHER",0,"Representative","MD","5",15595,"PALOMBI"
"107","H0MD06231","PARROTT, NEIL CONRAD",0,"Representative","MD","6",468970,"PARROTT"
"108","H0MD08203","COLL, GREGORY THOMAS",0,"Representative","MD","8",11800,"COLL"
"109","H0MI02094","HUIZENGA, WILLIAM P",0,"Representative","MI","4",728494,"HUIZENGA"
"110","H0MI03266","NORTON, THOMAS JOHN",0,"Representative","MI","2",120226,"NORTON"
"111","H0MI03308","MEIJER, PETER MR.",0,"Representative","MI","3",942826,"MEIJER"
"112","H0MI03316","SCHOLTEN, HILLARY",1,"Representative","MI","3",1603346,"SCHOLTEN"
"113","H0MI04108","FEIG, ANTHONY DEAN DR.",1,"Representative","MI","4",9475,"FEIG"
"114","H0MI06202","SOLIS, JERRY",0,"Representative","MI","6",1456,"SOLIS"
"115","H0MI08133","DETMER, MIKE",0,"Representative","MI","8",3450,"DETMER"
"116","H0MI08141","JUNGE, PAUL",0,"Representative","MI","8",431041,"JUNGE"
"117","H0MI10287","MCCLAIN, LISA",0,"Representative","MI","9",279441,"MCCLAIN"
"118","H0MN01045","HAGEDORN, JAMES",0,"Representative","MN","1",233838,"HAGEDORN"
"119","H0MN02118","OLSON, RICHARD THOMAS",0,"Representative","MN","2",7600,"OLSON"
"120","H0MN02134","KISTNER, TYLER",0,"Representative","MN","2",1133830,"KISTNER"
"121","H0MN04049","MCCOLLUM, BETTY",1,"Representative","MN","4",401322,"MCCOLLUM"
"122","H0MN07091","FISCHBACH, MICHELLE",0,"Representative","MN","7",261999,"FISCHBACH"
"123","H0MO03237","WILKINSON, BRANDON",0,"Representative","MO","3",10015,"WILKINSON"
"124","H0MO04086","HARTZLER, VICKY",0,"Representative","MO","4",4000,"HARTZLER"
"125","H0MO06073","GRAVES, SAMUEL B. JR.",0,"Representative","MO","6",439995,"GRAVES"
"126","H0MO06206","WEST, CHARLES",1,"Representative","MO","6",2075,"WEST"
"127","H0MS02082","FLOWERS, BRIAN WESLEY",0,"Representative","MS","2",6600,"FLOWERS"
"128","H0MS04120","PALAZZO, STEVEN MCCARTY",0,"Representative","MS","4",153074,"PALAZZO"
"129","H0MS04161","CARL, BOYANTON",0,"Representative","MS","4",10100,"CARL"
"130","H0MT00074","RANKIN, SAM",0,"Representative","MT","2",5180,"RANKIN"
"131","H0MT00090","WINTER, THOMAS",1,"Representative","MT","1",40683,"WINTER"
"132","H0NC02059","ELLMERS, RENEE JACISIN",0,"Representative","NC","13",4000,"ELLMERS"
"133","H0NC02125","ROSS, DEBORAH",1,"Representative","NC","2",635161,"ROSS"
"134","H0NC03149","SMITH, SANDY",0,"Representative","NC","1",400451,"SMITH"
"135","H0NC03172","MURPHY, GREGORY FRANCIS DR.",0,"Representative","NC","3",719158,"MURPHY"
"136","H0NC04220","THOMAS, ROBERT",0,"Representative","NC","4",2300,"THOMAS"
"137","H0NC06209","BUCARDO, JENNYFER",0,"Representative","NC","9",4858,"BUCARDO"
"138","H0NC06241","HAYWOOD, JOSEPH",0,"Representative","NC","6",4195,"HAYWOOD"
"139","H0NC09187","BISHOP, JAMES DANIEL",0,"Representative","NC","8",449819,"BISHOP"
"140","H0NC11191","BENNETT, LYNDA",0,"Representative","NC","11",18330,"BENNETT"
"141","H0NC11217","BURRIL, MATTHEW",0,"Representative","NC","11",2900,"BURRIL"
"142","H0NC11233","CAWTHORN, DAVID MADISON",0,"Representative","NC","11",772666,"CAWTHORN"
"143","H0NH01282","MOWERS, MATT",0,"Representative","NH","1",771507,"MOWERS"
"144","H0NH02181","KUSTER, ANN MCLANE",1,"Representative","NH","2",1267419,"KUSTER"
"145","H0NH02280","TOWNE, GILEAD R",0,"Representative","NH","1",4141,"TOWNE"
"146","H0NJ05174","PALLOTTA, FRANK",0,"Representative","NJ","5",345236,"PALLOTTA"
"147","H0NJ05240","VELLUCCI, LOUIS",0,"Representative","NJ","5",6354,"VELLUCCI"
"148","H0NJ07261","KEAN, THOMAS H. JR.",0,"Representative","NJ","7",1710273,"KEAN"
"149","H0NJ09200","PREMPEH, WILLIAM SREBOE",0,"Representative","NJ","9",88506,"PREMPEH"
"150","H0NM01189","GARCIA HOLMES, MICHELLE",0,"Representative","NM","1",116185,"HOLMES"
"151","H0NM03102","LEGER FERNANDEZ, TERESA",1,"Representative","NM","3",1007926,"FERNANDEZ"
"152","H0NV04023","PETERS, SAMUEL JAMES MR",0,"Representative","NV","4",801184,"PETERS"
"153","H0NY01202","FLEMING, BRIDGET",1,"Representative","NY","1",1461001,"FLEMING"
"154","H0NY02192","GORDON, JACQUELINE",1,"Representative","NY","2",619891,"GORDON"
"155","H0NY02234","GARBARINO, ANDREW",0,"Representative","NY","2",381333,"GARBARINO"
"156","H0NY03075","D'ARRIGO, MELANIE",1,"Representative","NY","3",101583,"DARRIGO"
"157","H0NY03083","DEVOLDER-SANTOS, GEORGE ANTHONY",0,"Representative","NY","3",539861,"SANTOS"
"158","H0NY06086","ZMICH, THOMAS",0,"Representative","NY","6",1000,"ZMICH"
"159","H0NY09080","JAMES, ISIAH",1,"Representative","NY","9",2000,"JAMES"
"160","H0NY11078","MALLIOTAKIS, NICOLE",0,"Representative","NY","11",1132000,"MALLIOTAKIS"
"161","H0NY15160","TORRES, RITCHIE JOHN",1,"Representative","NY","15",1515360,"TORRES"
"162","H0NY16143","BOWMAN, JAMAAL",1,"Representative","NY","16",455122,"BOWMAN"
"163","H0NY17174","JONES, MONDAIRE",1,"Representative","NY","10",1793251,"JONES"
"164","H0NY17281","PARKER, CATHERINE F",1,"Representative","NY","16",183189,"PARKER"
"165","H0NY20111","JOY, ELIZABETH L",0,"Representative","NY","20",304724,"JOY"
"166","H0NY24063","CONOLE, FRANCIS",1,"Representative","NY","22",1486214,"CONOLE"
"167","H0NY27090","JACOBS, CHRISTOPHER L.",0,"Representative","NY","23",968779,"JACOBS"
"168","H0NY29054","REED, THOMAS W",0,"Representative","NY","23",-2700,"REED"
"169","H0OH04085","SITES, JEFFREY ALAN",1,"Representative","OH","4",82707,"SITES"
"170","H0OH06189","JOHNSON, BILL",0,"Representative","OH","6",218367,"JOHNSON"
"171","H0OH11098","GORE, LAVERNE",0,"Representative","OH","11",24200,"GORE"
"172","H0OH12179","SHEARER, ALAINA",1,"Representative","OH","12",3300,"SHEARER"
"173","H0OH18077","GIBBS, ROBERT",0,"Representative","OH","7",38575,"GIBBS"
"174","H0OK05205","BICE, STEPHANIE",0,"Representative","OK","5",439136,"BICE"
"175","H0OR02127","BENTZ, CLIFF",0,"Representative","OR","2",298795,"BENTZ"
"176","H0OR02168","CRUMPACKER, JIMMY",0,"Representative","OR","5",3400,"CRUMPACKER"
"177","H0OR03174","HARBOUR, JOANNA",0,"Representative","OR","3",5400,"HARBOUR"
"178","H0OR04107","SKARLATOS, ALEK",0,"Representative","OR","4",1527424,"SKARLATOS"
"179","H0OR05096","GAMBA, MARK",1,"Representative","OR","5",2156,"GAMBA"
"180","H0OR05104","COURSER, AMY RYAN",0,"Representative","OR","6",17682,"COURSER"
"181","H0PA03271","KELLY, GEORGE J JR",0,"Representative","PA","16",240935,"KELLY"
"182","H0PA05094","PRUETT, DASHA",0,"Representative","PA","1",680,"PRUETT"
"183","H0PA07132","SCHELLER, LISA",0,"Representative","PA","7",1300250,"SCHELLER"
"184","H0PA08197","DANIELS, TEDDY",0,"Representative","PA","8",123442,"DANIELS"
"185","H0PA08221","BOGNET, JIM",0,"Representative","PA","8",1131479,"BOGNET"
"186","H0PA10110","DEPASQUALE, EUGENE",1,"Representative","PA","10",55264,"DEPASQUALE"
"187","H0PA12181","KELLER, FRED",0,"Representative","PA","9",92112,"KELLER"
"188","H0PA12207","ELIZABETH, TERWILLIGER",0,"Representative","PA","12",5721,"ELIZABETH"
"189","H0PA18097","DICKINSON, GERALD",1,"Representative","PA","12",149186,"DICKINSON"
"190","H0RI01073","CICILLINE, DAVID N",1,"Representative","RI","1",419463,"CICILLINE"
"191","H0RI02139","LANGEVIN, JAMES R HONORABLE",1,"Representative","RI","2",63076,"LANGEVIN"
"192","H0RI02287","LANCIA, BOB",0,"Representative","RI","2",24456,"LANCIA"
"193","H0SC01394","MACE, NANCY",0,"Representative","SC","1",885471,"MACE"
"194","H0SC03077","DUNCAN, JEFFREY D MR.",0,"Representative","SC","3",300094,"DUNCAN"
"195","H0TN01118","HARSHBARGER, DIANA",0,"Representative","TN","1",318887,"HARSHBARGER"
"196","H0TN03254","FLEISCHMANN, CHARLES J",0,"Representative","TN","3",173096,"FLEISCHMANN"
"197","H0TN04195","DESJARLAIS, SCOTT HON.",0,"Representative","TN","4",39270,"DESJARLAIS"
"198","H0TN09061","BERGMANN, CHARLOTTE",0,"Representative","TN","9",18167,"BERGMANN"
"199","H0TX04219","FALLON, PATRICK",0,"Representative","TX","4",113826,"FALLON"
"200","H0TX05125","HALE, KEVIN",0,"Representative","TX","5",6436,"HALE"
"201","H0TX07170","HUNT, WESLEY",0,"Representative","TX","38",1538357,"HUNT"
"202","H0TX08145","JONES, LAURA",1,"Representative","TX","8",11580,"JONES"
"203","H0TX09176","TEAGUE, JOHNNY MARK DR.",0,"Representative","TX","7",81275,"TEAGUE"
"204","H0TX11230","PFLUGER, AUGUST LEE II",0,"Representative","TX","11",399435,"PFLUGER"
"205","H0TX12246","PUTNAM, CHRIS",0,"Representative","TX","12",698227,"PUTNAM"
"206","H0TX13228","JACKSON, RONNY LYNN",0,"Representative","TX","13",1018039,"JACKSON"
"207","H0TX14218","WILLIAMS, MIKAL D. DR",1,"Representative","TX","14",28985,"WILLIAMS"
"208","H0TX15124","DE LA CRUZ, MONICA",0,"Representative","TX","15",1340477,"CRUZ"
"209","H0TX16106","ARMENDARIZ-JACKSON, IRENE",0,"Representative","TX","16",95138,"JACKSON"
"210","H0TX22302","NEHLS, TROY",0,"Representative","TX","22",286216,"NEHLS"
"211","H0TX24209","VAN DUYNE, ELIZABETH ANN",0,"Representative","TX","24",531283,"DUYNE"
"212","H0TX28069","WHITTEN, SANDRA LINN MRS.",0,"Representative","TX","28",11386,"WHITTEN"
"213","H0TX28077","CISNEROS, JESSICA",1,"Representative","TX","28",394712,"CISNEROS"
"214","H0TX30081","CLEVELAND, SHENITA LACHE",1,"Representative","TX","30",11130,"CLEVELAND"
"215","H0TX31030","GARAPATI, ABHIRAM",0,"Representative","TX","31",500,"GARAPATI"
"216","H0TX31048","WILLIAMS, MICHAEL HOWARD",0,"Representative","TX","31",7925,"WILLIAMS"
"217","H0TX31097","IMAM, DONNA",1,"Representative","TX","37",87219,"IMAM"
"218","H0TX32053","PENNIE, DEMETRICK TRE DR.",0,"Representative","TX","30",6252,"PENNIE"
"219","H0TX35015","GONZALES, ERNEST ANTHONY TONY II",0,"Representative","TX","23",562821,"GONZALES"
"220","H0TX35064","SHARON, JENNIFER",0,"Representative","TX","37",1350,"SHARON"
"221","H0UT01205","MOORE, BLAKE",0,"Representative","UT","1",330801,"MOORE"
"222","H0UT04076","OWENS, BURGESS",0,"Representative","UT","4",971486,"OWENS"
"223","H0VA02167","BAAN, ANDY",0,"Representative","VA","2",4450,"BAAN"
"224","H0VA02175","BELL, JAROME",0,"Representative","VA","2",39264,"BELL"
"225","H0VA04064","BENJAMIN, LEON MR. SR.",0,"Representative","VA","4",116059,"BENJAMIN"
"226","H0VA05160","GOOD, ROBERT G.",0,"Representative","VA","5",313437,"GOOD"
"227","H0VA07109","RAMIREZ, TINA MARIE MRS.",0,"Representative","VA","7",260617,"RAMIREZ"
"228","H0VA09055","GRIFFITH, H MORGAN",0,"Representative","VA","9",91064,"GRIFFITH"
"229","H0VA11127","ANANTATMULA, MANGA",0,"Representative","VA","11",3350,"ANANTATMULA"
"230","H0WA01124","CHARTRAND, DEREK",0,"Representative","WA","1",400,"CHARTRAND"
"231","H0WA02080","LARSEN, RICK",1,"Representative","WA","2",288721,"LARSEN"
"232","H0WA02189","CALL, JASON",1,"Representative","WA","2",29599,"CALL"
"233","H0WA03187","HERRERA BEUTLER, JAIME",0,"Representative","WA","3",982882,"BEUTLER"
"234","H0WA06081","KREISELMAIER, ELIZABETH",0,"Representative","WA","6",155314,"KREISELMAIER"
"235","H0WA06099","PARSON, REBECCA ELIZABETH",1,"Representative","WA","6",32507,"PARSON"
"236","H0WA08046","DELBENE, SUZAN K",1,"Representative","WA","1",460072,"DELBENE"
"237","H0WA08103","JENSEN, JESSE",0,"Representative","WA","8",698493,"JENSEN"
"238","H0WA10034","STRICKLAND, MARILYN",1,"Representative","WA","10",470309,"STRICKLAND"
"239","H0WI03118","NEUMANN, MARK ALLEN",1,"Representative","WI","3",4095,"NEUMANN"
"240","H0WI03175","VAN ORDEN, DERRICK F. MR.",0,"Representative","WI","3",1986621,"ORDEN"
"241","H0WI05113","FITZGERALD, SCOTT",0,"Representative","WI","5",205610,"FITZGERALD"
"242","H0WI06194","WASHBURN, AMY IRENE MS.",1,"Representative","WI","6",170,"WASHBURN"
"243","H0WI07101","TIFFANY, TOM",0,"Representative","WI","7",386301,"TIFFANY"
"244","H0WV01072","MCKINLEY, DAVID B. MR.",0,"Representative","WV","2",88700,"MCKINLEY"
"245","H0WY01036","GREYBULL, LYNNETTE",1,"Representative","WY","0",22600,"GREYBULL"
"246","H1FL20011","VILME, PRADEL",1,"Representative","FL","20",800,"VILME"
"247","H2AK00200","CONSTANT, CHRISTOPHER",1,"Representative","AK","0",3100,"CONSTANT"
"248","H2AK00218","REVAK, JOSHUA CARL",0,"Representative","AK","0",11900,"REVAK"
"249","H2AK00226","PALIN, SARAH",0,"Representative","AK","0",548995,"PALIN"
"250","H2AK01075","BRELSFORD, GREGG BOWYER MR.",0,"Representative","AK","0",8007,"BRELSFORD"
"251","H2AK01083","BEGICH, NICHOLAS III",0,"Representative","AK","0",383793,"BEGICH"
"252","H2AK01158","PELTOLA, MARY",1,"Representative","AK","0",3722044,"PELTOLA"
"253","H2AK01166","GROSS, ALAN",0,"Representative","AK","0",20676,"GROSS"
"254","H2AK01174","SWEENEY, TARA M",0,"Representative","AK","0",50619,"SWEENEY"
"255","H2AK01216","BYE, CHRIS",0,"Representative","AK","0",2282,"BYE"
"256","H2AL02166","PATEL, VIMAL",1,"Representative","AL","2",11600,"PATEL"
"257","H2AL02190","SMITH, JONATHAN",0,"Representative","AL","2",2000,"SMITH"
"258","H2AL03032","ROGERS, MICHAEL",0,"Representative","AL","3",954360,"ROGERS"
"259","H2AL03107","BELL, DOUGLAS A.",0,"Representative","AL","3",4220,"BELL"
"260","H2AL03131","VEASEY, KAREN LIN MRS",1,"Representative","AL","3",1300,"VEASEY"
"261","H2AL04105","COCHRAN, JOHN",0,"Representative","AL","4",4750,"COCHRAN"
"262","H2AL05102","STRONG, DALE WHITNEY",0,"Representative","AL","5",310035,"STRONG"
"263","H2AL05110","BLALOCK, KEVIN ANDREW",0,"Representative","AL","5",15340,"BLALOCK"
"264","H2AL05128","WARDYNSKI, CASEY",0,"Representative","AL","5",113089,"WARDYNSKI"
"265","H2AL05144","THOMPSON, CHARLES",0,"Representative","AL","5",65,"THOMPSON"
"266","H2AL05169","ROBERTS, JOHN",0,"Representative","AL","5",99650,"ROBERTS"
"267","H2AL05177","WARNER-STANTON, KATHY L",1,"Representative","AL","5",6035,"STANTON"
"268","H2AL05219","SANFORD, PAUL",0,"Representative","AL","5",3972,"SANFORD"
"269","H2AL07173","NICHOLS, BEATRICE JACKSON",0,"Representative","AL","7",15990,"NICHOLS"
"270","H2AR01105","SMITH, BRANDT",0,"Representative","AR","1",3650,"SMITH"
"271","H2AR01113","HODGES, MONTE",1,"Representative","AR","1",12950,"HODGES"
"272","H2AR02087","CARTWRIGHT, NICHOLAS",1,"Representative","AR","2",5650,"CARTWRIGHT"
"273","H2AR02103","REYNOLDS, CONRAD E",0,"Representative","AR","2",1500,"REYNOLDS"
"274","H2AR03275","KUMAR, NEIL",0,"Representative","AR","3",22155,"KUMAR"
"275","H2AR03283","HAYS, LAUREN",1,"Representative","AR","3",11624,"HAYS"
"276","H2AZ01339","BLACKMAN, WALTER JACK",0,"Representative","AZ","2",206747,"BLACKMAN"
"277","H2AZ01347","MOORE FOR AZ, JOHN W",0,"Representative","AZ","1",2763,"AZ"
"278","H2AZ01354","CRANE, ELI",0,"Representative","AZ","2",1224809,"CRANE"
"279","H2AZ01362","WATKINS, RONALD",0,"Representative","AZ","2",5586,"WATKINS"
"280","H2AZ01370","YATES, ANDY",0,"Representative","AZ","1",250,"YATES"
"281","H2AZ02311","ENGEL, KIRSTEN",1,"Representative","AZ","6",1128175,"ENGEL"
"282","H2AZ02329","FRIESE, RANDALL S.",1,"Representative","AZ","2",472140,"FRIESE"
"283","H2AZ02337","URREA, MARCOS J",1,"Representative","AZ","6",1318,"URREA"
"284","H2AZ02345","HERNANDEZ, DANIEL",1,"Representative","AZ","6",453744,"HERNANDEZ"
"285","H2AZ02352","LOWELL, DOUGLAS",0,"Representative","AZ","2",45929,"LOWELL"
"286","H2AZ02360","CISCOMANI, JUAN",0,"Representative","AZ","6",1578988,"CISCOMANI"
"287","H2AZ02378","WINN, KATHLEEN",0,"Representative","AZ","6",111500,"WINN"
"288","H2AZ02394","FREE, LUCRETIA",0,"Representative","AZ","2",5400,"FREE"
"289","H2AZ02402","DELUZIO, MARK",0,"Representative","AZ","2",135969,"DELUZIO"
"290","H2AZ02410","KRYSTOFIAK, STEVEN",0,"Representative","AZ","2",176805,"KRYSTOFIAK"
