"","State","State_Abbr","Office","District","Special","Dem_Name","Rep_Name","Dem_Gender","Rep_Gender","Dem_Incumbent","Rep_Incumbent","Rep_Election_Denier","Dem_Fundraised","Rep_Fundraised","Open.Num","Dem_Man_Rep_Man","Dem_Woman_Rep_Man","Dem_Man_Rep_Woman","Dem_Woman_Rep_Woman","Fundraising_Prop"
"54","Ohio","OH","Representative","11",0,"Shontel Brown","Eric J. Brewer",0,1,1,0,0,929565,0,0,0,1,0,0,1
"55","Ohio","OH","Representative","12",0,"Amy Rippel-Elton","Troy Balderson",0,1,0,1,0,0,400590,0,0,1,0,0,0
"56","Ohio","OH","Representative","13",0,"Emilia Sykes","Madison Gesiotto Gilbert",0,0,0,0,0,930435,593758,1,0,0,0,1,0.610444346614897
"57","Ohio","OH","Representative","14",0,"Matt Kilboy","David P. Joyce",1,1,0,1,0,14299,588910,0,1,0,0,0,0.0237048850398452
"58","Ohio","OH","Representative","15",0,"Gary Josephson","Mike Carey",1,1,0,1,0,31001,636839,0,1,0,0,0,0.046419801149976
"59","West Virginia","WV","Representative","1",0,"Lacy Watson","Carol Miller",1,0,0,1,1,0,214146,0,0,0,1,0,0
"60","West Virginia","WV","Representative","2",0,"Barry Lee Wendell","Alexander X. Mooney",1,1,0,1,1,11883,450464,0,1,0,0,0,0.0257014752988556
"61","Nebraska","NE","Representative","1",0,"Patty Pansing Brooks","Mike Flood",0,1,0,0,0,668297,542991,1,0,1,0,0,0.551724280270258
"62","Nebraska","NE","Representative","2",0,"Tony Vargas","Don Bacon",1,1,0,1,0,1581330,734278,0,1,0,0,0,0.682900560025704
"63","Nebraska","NE","Representative","3",0,"David J. Else","Adrian Smith",1,1,0,1,0,0,167909,0,1,0,0,0,0
"64","Kentucky","KY","Senator","0",0,"Charles Booker","Rand Paul",1,1,0,1,0,1565535,4987117,0,1,0,0,0,0.23891624337749
"65","Kentucky","KY","Representative","1",0,"Jimmy C. Ausbrooks","James R. Comer",1,1,0,1,0,250,490999,0,1,0,0,0,0.000508906888360078
"66","Kentucky","KY","Representative","2",0,"Hank Linderman","S. Brett Guthrie",1,1,0,1,0,22704,119925,0,1,0,0,0,0.159182213995751
"67","Kentucky","KY","Representative","3",0,"Morgan McGarvey","Stuart N. Ray",1,1,0,0,0,1010411,139849,1,1,0,0,0,0.878419661641716
"68","Kentucky","KY","Representative","4",0,"Matthew Lehman","Thomas Massie",1,1,0,1,0,74279,232761,0,1,0,0,0,0.241919619593538
"69","Kentucky","KY","Representative","5",0,"Conor Halbleib","Harold ""Hal"" Rogers",1,1,0,1,1,3530,219000,0,1,0,0,0,0.0158630297038602
"70","Kentucky","KY","Representative","6",0,"Geoffrey M. ""Geoff"" Young","Andy Barr",1,1,0,1,0,13807,750572,0,1,0,0,0,0.0180630289424487
"71","Oregon","OR","Senator","0",0,"Ron Wyden","Jo Rae Perkins",1,0,1,0,1,3175684,36430,0,0,0,1,0,0.988658559440917
"72","Oregon","OR","Representative","1",0,"Suzanne Bonamici","Christopher A. Mann",0,1,1,0,1,176655,0,0,0,1,0,0,1
"73","Oregon","OR","Representative","2",0,"Joe Yetter","Cliff S. Bentz",1,1,0,1,0,25396,298795,0,1,0,0,0,0.0783365361777471
"74","Oregon","OR","Representative","3",0,"Earl Blumenauer","Joanna Harbour",1,0,1,0,0,247652,5400,0,0,0,1,0,0.978660512463841
"75","Oregon","OR","Representative","4",0,"Val Hoyle","Alek Skarlatos",0,1,0,0,0,766993,1527424,1,0,1,0,0,0.334286661927627
"76","Oregon","OR","Representative","5",0,"Jamie McLeod-Skinner","Lori Chavez-DeRemer",0,0,0,0,0,1470369,967504,1,0,0,0,1,0.603136012417382
"77","Oregon","OR","Representative","6",0,"Andrea Salinas","Mike Erickson",0,1,0,0,0,1417119,501550,1,0,1,0,0,0.738594827977103
"78","Idaho","ID","Senator","0",0,"David Roth","Mike Crapo",1,1,0,1,0,32918,668013,0,1,0,0,0,0.0469632531590128
"79","Idaho","ID","Representative","1",0,"Kaylee Peterson","Russ Fulcher",0,1,0,1,1,29125,99160,0,0,1,0,0,0.227033558093308
"80","Idaho","ID","Representative","2",0,"Wendy Norman","Mike Simpson",0,1,0,1,0,4470,183626,0,0,1,0,0,0.0237644607009187
"81","North Carolina","NC","Senator","0",0,"Cheri Beasley","Ted Budd",0,1,0,0,0,15501364,5035019,1,0,1,0,0,0.754824449855654
"82","North Carolina","NC","Representative","1",0,"Don Davis","Sandy Smith",1,0,0,0,1,525308,400451,1,0,0,1,0,0.567434937170473
"83","North Carolina","NC","Representative","2",0,"Deborah K. Ross","Christine E. Villaverde",0,0,1,0,0,635161,46400,0,0,0,0,1,0.931920987263062
"84","North Carolina","NC","Representative","3",0,"Barbara D. Gaskins","Greg Murphy",0,1,0,1,1,7750,719158,0,0,1,0,0,0.0106615967907906
"85","North Carolina","NC","Representative","4",0,"Valerie P. Foushee","Courtney Geels",0,0,0,0,0,99094,177378,1,0,0,0,1,0.358423276136462
"86","North Carolina","NC","Representative","5",0,"Kyle Parrish","Virginia Foxx",1,0,0,1,1,4150,505932,0,0,0,1,0,0.00813594676934297
"87","North Carolina","NC","Representative","6",0,"Kathy Manning","Christian Castelli",0,1,1,0,0,1180059,344192,0,0,1,0,0,0.774189421558523
"88","North Carolina","NC","Representative","7",0,"Charles Graham","David Rouzer",1,1,0,1,1,53715,278633,0,1,0,0,0,0.161622756869306
"89","North Carolina","NC","Representative","8",0,"Scott Huffman","Dan Bishop",1,1,0,1,1,13145,449819,0,1,0,0,0,0.0283931363993745
"90","North Carolina","NC","Representative","9",0,"Ben Clark","Richard Hudson",1,1,0,1,1,55317,886736,0,1,0,0,0,0.058719626178145
"91","North Carolina","NC","Representative","10",0,"Pam Genant","Patrick McHenry",0,1,0,1,0,34936,563578,0,0,1,0,0,0.0583712327531186
"92","North Carolina","NC","Representative","11",0,"Jasmine Beach-Ferrara","Chuck Edwards",0,1,0,0,0,521194,229284,1,0,1,0,0,0.69448271634878
"93","North Carolina","NC","Representative","12",0,"Alma S. Adams","Tyler Lee",0,1,1,0,0,153055,113381,0,0,1,0,0,0.57445315197646
"94","North Carolina","NC","Representative","13",0,"Wiley Nickel","Bo Hines",1,1,0,0,1,1284684,718892,1,1,0,0,0,0.641195542370242
"95","North Carolina","NC","Representative","14",0,"Jeff Jackson","Pat Harrigan",1,1,0,0,0,1736680,392454,1,1,0,0,0,0.815674353986175
"96","Pennsylvania","PA","Senator","0",0,"John Fetterman","Mehmet Oz",1,1,0,0,0,23545207,10161294,1,1,0,0,0,0.698536077654575
"97","Pennsylvania","PA","Representative","1",0,"Ashley Ehasz","Brian Fitzpatrick",0,1,0,1,0,465743,629707,0,0,1,0,0,0.425161349217217
"98","Pennsylvania","PA","Representative","2",0,"Brendan F. Boyle","Aaron Bashir",1,1,1,0,1,249977,0,0,1,0,0,0,1
"99","Pennsylvania","PA","Representative","4",0,"Madeleine Dean","Christian Nascimento",0,1,1,0,0,416911,131510,0,0,1,0,0,0.760202472188337
"100","Pennsylvania","PA","Representative","5",0,"Mary Gay Scanlon","David Galluch",0,1,1,0,0,382763,359272,0,0,1,0,0,0.515828768184789
"101","Pennsylvania","PA","Representative","6",0,"Chrissy Houlahan","Guy Ciarrocchi",0,1,1,0,0,1124998,363263,0,0,1,0,0,0.755914453177232
"102","Pennsylvania","PA","Representative","7",0,"Susan Wild","Lisa Scheller",0,0,1,0,0,2421256,1300250,0,0,0,0,1,0.650611875944846
"103","Pennsylvania","PA","Representative","8",0,"Matt Cartwright","Jim Bognet",1,1,1,0,1,1522324,1131479,0,1,0,0,0,0.573638661196781
"104","Pennsylvania","PA","Representative","9",0,"Amanda R. Waldman","Dan Meuser",0,1,0,1,1,8950,433305,0,0,1,0,0,0.020237193474353
"105","Pennsylvania","PA","Representative","10",0,"Shamaine Daniels","Scott Perry",0,1,0,1,1,189366,1057229,0,0,1,0,0,0.15190659356086
"106","Pennsylvania","PA","Representative","11",0,"Bob Hollister","Lloyd K. Smucker",1,1,0,1,1,104834,118548,0,1,0,0,0,0.469303703968986
"107","Pennsylvania","PA","Representative","12",0,"Summer Lee","Mike Doyle",0,1,0,0,0,417129,81252,1,0,1,0,0,0.836968102716596
"108","Pennsylvania","PA","Representative","16",0,"Dan Pastore","Mike Kelly",1,1,0,1,1,169323,240935,0,1,0,0,0,0.412723213197549
"109","Pennsylvania","PA","Representative","17",0,"Chris Deluzio","Jeremy Shaffer",1,1,0,0,0,1600905,803092,1,1,0,0,0,0.665934691266254
"110","Virginia","VA","Representative","9",0,"Taysha DeVaughan","H. Morgan Griffith",0,1,0,1,0,19072,91064,0,0,1,0,0,0.17316771990993
"111","Alabama","AL","Senator","0",0,"Will Boyd","Katie Britt",1,0,0,0,1,50840,3531472,1,0,0,1,0,0.0141919520131133
"112","Alabama","AL","Representative","2",0,"Phyllis Harvey-Hall","Barry Moore",0,1,0,1,1,11672,191361,0,0,1,0,0,0.0574881915747686
"113","Alabama","AL","Representative","3",0,"Lin Veasey","Mike Rogers",0,1,0,1,1,1300,954360,0,0,1,0,0,0.00136031643052969
"114","Alabama","AL","Representative","4",0,"Rick Neighbors","Robert Aderholt",1,1,0,1,1,9010,357328,0,1,0,0,0,0.0245947731330083
"115","Alabama","AL","Representative","5",0,"Kathy Warner-Stanton","Dale Strong",0,1,0,0,1,6035,310035,1,0,1,0,0,0.0190938716107191
"116","Alabama","AL","Representative","7",0,"Terrycina Sewell","Beatrice Nichols",0,0,1,0,0,242945,15990,0,0,0,0,1,0.938247050418059
"117","Arkansas","AR","Senator","0",0,"Natalie James","John Boozman",0,1,0,1,0,13935,1377221,0,0,1,0,0,0.0100168492965562
"118","Arkansas","AR","Representative","1",0,"Monte Hodges","Rick Crawford",1,1,0,1,1,12950,129303,0,1,0,0,0,0.0910349869598532
"119","Arkansas","AR","Representative","2",0,"Quintessa Hathaway","French Hill",0,1,0,1,0,0,735158,0,0,1,0,0,0
"120","Arkansas","AR","Representative","3",0,"Lauren Mallett-Hays","Steve Womack",0,1,0,1,0,11624,398698,0,0,1,0,0,0.0283289709057764
"121","Arkansas","AR","Representative","4",0,"John White","Bruce Westerman",1,1,0,1,0,0,485454,0,1,0,0,0,0
"122","Georgia","GA","Senator","0",0,"Raphael Warnock","Herschel Junior Walker",1,1,1,0,0,35622857,15054373,0,1,0,0,0,0.702936151009043
"123","Georgia","GA","Representative","1",0,"Wade Herring","Earl L. ""Buddy"" Carter",1,1,0,1,0,562532,414031,0,1,0,0,0,0.576032473071374
"124","Georgia","GA","Representative","2",0,"Sanford Bishop","Chris West",1,1,1,0,0,694626,340266,0,1,0,0,0,0.671206270799272
"125","Georgia","GA","Representative","3",0,"Val Almonord","Drew Ferguson",1,1,0,1,0,145,280240,0,1,0,0,0,0.000517146067014997
"126","Georgia","GA","Representative","4",0,"Henry C. ""Hank"" Johnson Jr.","Jonathan Chavez",1,1,1,0,0,36514,0,0,1,0,0,0,1
"127","Georgia","GA","Representative","5",0,"Nikema Williams","Christian Zimm",0,1,1,0,0,138499,11224,0,0,1,0,0,0.925034897777896
"128","Georgia","GA","Representative","6",0,"Bob Christian","Rich McCormick",1,1,0,0,1,23623,1252980,1,1,0,0,0,0.0185045781656474
"129","Georgia","GA","Representative","7",0,"Lucy McBath","Mark Gonsalves",0,1,1,0,1,1423129,216632,0,0,1,0,0,0.867888064175206
"130","Georgia","GA","Representative","8",0,"Darrius Butler","Austin Scott",1,1,0,1,0,0,175500,0,1,0,0,0,0
"131","Georgia","GA","Representative","9",0,"Michael ""Mike"" Ford","Andrew Clyde",1,1,0,1,1,5075,202336,0,1,0,0,0,0.0244683261736359
"132","Georgia","GA","Representative","10",0,"Tabitha Johnson-Green","Mike Collins",0,1,0,0,1,1429,527584,1,0,1,0,0,0.00270125686892383
"133","Georgia","GA","Representative","11",0,"Antonio Daza","Barry Loudermilk",1,1,0,1,1,12315,200132,0,1,0,0,0,0.0579673989277326
"134","Georgia","GA","Representative","12",0,"Elizabeth ""Liz"" Johnson","Rick W. Allen",0,1,0,1,1,62773,259336,0,0,1,0,0,0.194881235854944
"135","Georgia","GA","Representative","13",0,"David Scott","Caesar Gonzales",1,1,1,0,1,128350,3765,0,1,0,0,0,0.971502100442796
"136","Georgia","GA","Representative","14",0,"Marcus Flowers","Marjorie Taylor Greene",1,0,0,1,1,2348202,1424754,0,0,0,1,0,0.622377255393384
"137","New Mexico","NM","Representative","1",0,"Melanie Ann Stansbury","Michelle Garcia Holmes",0,0,1,0,0,481506,116185,0,0,0,0,1,0.805610256804938
"138","New Mexico","NM","Representative","2",0,"Gabriel Vasquez","Yvette Herrell",1,0,0,1,1,1583185,1330445,0,0,0,1,0,0.543372013605022
"139","New Mexico","NM","Representative","3",0,"Teresa Leger Fernandez","Alexis Martinez Johnson",0,0,1,0,0,1007926,147631,0,0,0,0,1,0.872242563542949
"140","Mississippi","MS","Representative","1",0,"Dianne Black","Trent Kelly",0,1,0,1,1,8869,247811,0,0,1,0,0,0.0345527505064672
"141","Mississippi","MS","Representative","2",0,"Bennie G. Thompson","Brian Flowers",1,1,1,0,1,265355,6600,0,1,0,0,0,0.975731279071905
"142","Mississippi","MS","Representative","3",0,"Shuwaski A. Young","Michael Guest",1,1,0,1,0,25300,209944,0,1,0,0,0,0.107547907704341
"143","Mississippi","MS","Representative","4",0,"Johnny L. DuPree ","Mike Ezell",1,1,0,0,0,40509,375510,1,1,0,0,0,0.0973729565236203
"144","Montana","MT","Representative","1",0,"Monica Tranel","Ryan K. Zinke",0,1,0,0,0,1595998,1882284,1,0,1,0,0,0.458846637506677
"145","Montana","MT","Representative","2",0,"Penny Ronning","Matt Rosendale",0,1,0,1,1,62428,455588,0,0,1,0,0,0.120513652087966
"146","Iowa","IA","Senator","0",0,"Michael Franken","Chuck Grassley",1,1,0,1,0,3413950,1782203,0,1,0,0,0,0.657014910838846
"147","Iowa","IA","Representative","1",0,"Christina Bohannan","Mariannette Miller-Meeks",0,0,0,1,0,1342708,1127185,0,0,0,0,1,0.543630027697556
"148","Iowa","IA","Representative","2",0,"Liz Mathis","Ashley Hinson",0,0,0,1,0,1803166,1702432,0,0,0,0,1,0.514367591492236
"149","Iowa","IA","Representative","3",0,"Cindy Axne","Zach Nunn",0,1,1,0,0,2064020,1004919,0,0,1,0,0,0.672551653845189
"150","Iowa","IA","Representative","4",0,"Ryan Melton","Randy Feenstra",1,1,0,1,0,12602,464065,0,1,0,0,0,0.0264377437498295
"151","New Jersey","NJ","Representative","1",0,"Donald W. Norcross","Claire Gustafson",1,0,1,0,0,339576,0,0,0,0,1,0,1
"152","New Jersey","NJ","Representative","2",0,"Tim Alexander","Jeff Van Drew",1,1,0,1,0,165120,621328,0,1,0,0,0,0.209956665920697
"153","New Jersey","NJ","Representative","3",0,"Andy Kim","Bob Healey",1,1,1,0,0,2202438,607764,0,1,0,0,0,0.78372942585622
"154","New Jersey","NJ","Representative","4",0,"Matthew Jenkins","Christopher H. Smith",1,1,0,1,0,19345,285020,0,1,0,0,0,0.0635585563386066
"155","New Jersey","NJ","Representative","5",0,"Josh Gottheimer","Frank T. Pallotta",1,1,1,0,0,2563606,345236,0,1,0,0,0,0.881314970012122
"156","New Jersey","NJ","Representative","6",0,"Frank Pallone Jr.","Susan M. Kiley",1,0,1,0,0,532442,116861,0,0,0,1,0,0.820020853130203
"157","New Jersey","NJ","Representative","7",0,"Tom Malinowski","Thomas H. Kean Jr.",1,1,1,0,0,3445039,1710273,0,1,0,0,0,0.66825034061954
"158","New Jersey","NJ","Representative","8",0,"Robert J. Menendez","Marcos Arroyo",1,1,0,0,0,215876,0,1,1,0,0,0,1
"159","New Jersey","NJ","Representative","9",0,"Bill Pascrell Jr.","Billy Prempeh",1,1,1,0,0,262704,88506,0,1,0,0,0,0.747996924916717
"160","New Jersey","NJ","Representative","10",0,"Donald M. Payne Jr.","David H. Pinckney",1,1,1,0,0,82700,0,0,1,0,0,0,1
"161","New Jersey","NJ","Representative","11",0,"Mikie Sherrill","Paul DeGroot",0,1,1,0,0,1746788,169354,0,0,1,0,0,0.911617197472839
"162","New Jersey","NJ","Representative","12",0,"Bonnie Watson Coleman","Darius Mayfield",0,1,1,0,1,145386,67335,0,0,1,0,0,0.683458614805308
"163","California","CA","Senator","0",0,"Alex Padilla","Mark P. Meuser",1,1,1,0,0,3168817,297914,0,1,0,0,0,0.914064863988582
"164","California","CA","Representative","1",0,"Max Steiner","Doug LaMalfa",1,1,0,1,1,219355,233989,0,1,0,0,0,0.48385993858968
"165","California","CA","Representative","2",0,"Jared Huffman","Douglas Brower",1,1,1,0,0,151664,5907,0,1,0,0,0,0.962512137385686
"166","California","CA","Representative","3",0,"Kermit Jones","Kevin Kiley",1,1,0,0,0,1332081,1169273,1,1,0,0,0,0.532543974183582
"167","California","CA","Representative","4",0,"Mike Thompson","Matt Brock",1,1,1,0,0,326121,2250,0,1,0,0,0,0.993147994189499
"168","California","CA","Representative","5",0,"Michael J. ""Mike"" Barkley","Tom McClintock",1,1,0,1,0,13361,407887,0,1,0,0,0,0.0317176580066849
"169","California","CA","Representative","6",0,"Ami Bera","Tamika Hamilton",1,0,1,0,0,227107,303264,0,0,0,1,0,0.428204030763371
"170","California","CA","Representative","7",0,"Doris Matsui","Max Semenenko",0,1,1,0,0,138764,4152,0,0,1,0,0,0.970947969436592
"171","California","CA","Representative","8",0,"John Garamendi","Rudy Recile",1,1,1,0,0,257746,6105,0,1,0,0,0,0.976861941019742
"172","California","CA","Representative","9",0,"Josh Harder","Tom Patti",1,1,1,0,0,2133008,603806,0,1,0,0,0,0.779376311287504
"173","California","CA","Representative","11",0,"Nancy Pelosi","John Dennis",0,1,1,0,1,15995076,142742,0,0,1,0,0,0.991154814114275
"174","California","CA","Representative","12",0,"Barbara Lee","Stephen Slauson",0,1,1,0,0,578965,0,0,0,1,0,0,1
"175","California","CA","Representative","13",0,"Adam Gray","John Duarte",1,1,0,0,0,839944,1046342,1,1,0,0,0,0.445289844700114
"176","California","CA","Representative","14",0,"Eric Swalwell","Alison Hayden",1,0,1,0,1,1196979,0,0,0,0,1,0,1
"177","California","CA","Representative","17",0,"Ro Khanna","Ritesh Tandon",1,1,1,0,0,1940962,55536,0,1,0,0,0,0.972183292945948
"178","California","CA","Representative","18",0,"Zoe Lofgren","Peter Hernandez",0,1,1,0,0,276598,118242,0,0,1,0,0,0.70053186100699
"179","California","CA","Representative","19",0,"Jimmy Panetta","Jeff Gorman",1,1,1,0,0,502485,18585,0,1,0,0,0,0.964333007081582
"180","California","CA","Representative","20",0,"Marisa Wood","Kevin McCarthy",0,1,0,1,1,215234,11289364,0,0,1,0,0,0.0187085198457173
"181","California","CA","Representative","21",0,"Jim Costa","Michael Maher",1,1,1,0,0,596214,153670,0,1,0,0,0,0.795074971595607
"182","California","CA","Representative","22",0,"Rudy Salas","David G. Valadao",1,1,0,1,0,1218515,754599,0,1,0,0,0,0.617559350346711
"183","California","CA","Representative","23",0,"Derek Marshall","Jay Obernolte",1,1,0,1,0,351042,289701,0,1,0,0,0,0.547867085555363
"184","California","CA","Representative","24",0,"Salud Carbajal","Brad Allen",1,1,1,0,0,453076,8000,0,1,0,0,0,0.982649281246476
"185","California","CA","Representative","25",0,"Raul Ruiz","Brian E. Hawkins",1,1,1,0,0,391028,113955,0,1,0,0,0,0.774338938142472
"186","California","CA","Representative","26",0,"Julia Brownley","Matt Jacobs",0,1,1,0,0,628126,974432,0,0,1,0,0,0.39195211655366
"187","California","CA","Representative","27",0,"Christy Smith","Mike Garcia",0,1,0,1,1,1801428,2022120,0,0,1,0,0,0.471140417225049
"188","California","CA","Representative","28",0,"Judy Chu","Wes Hallman",0,1,1,0,0,692097,45872,0,0,1,0,0,0.937840207379985
"189","California","CA","Representative","31",0,"Grace F. Napolitano","Daniel Bocic Martinez",0,1,1,0,0,29750,0,0,0,1,0,0,1
